Søndag 6. sep	Løb	GÅ OG LØB MED STØT BRYSTERNE 6. SEP. 2026	/event/16016	Løb
Søndag 6. sep	Løb	IKASTLØBET 2026	/event/17895	Løb | Ikast
Søndag 6. sep	Løb	LYSTSKOVLØBET 2026	/event/17841	Løb | Slagelse
Søndag 6. sep	Løb	REBORN TRAIL - STENSBALLEDAGEN (HORSENS) 2026	/event/16931	Løb | Horsens
Søndag 6. sep	Triatlon	TRI VED HAVNEN 2026	/event/16913	Triatlon
Mandag 7. sep	Løb	FÆNØSUNDLØBET 2026 - MIDDELFART	/event/18766	Løb | Middelfart
Mandag 7. sep	Løb	HYGGEHALV #9 2026	/event/17885	Løb
Mandag 7. sep	Løb	TRAILS - KØB 4, BETAL FOR 3 (2026)	/event/17473	Løb
Tirsdag 8. sep	Løb	TAASTRUP LØBET NR. 614	/event/18488	Løb | Taastrup
Fredag 11. sep	Løb	STORGAARD BILER TØSELØBET 2026	/event/17972	Løb | Bramming
Lørdag 12. sep	Løb	3ST - 3 SJÖAR TRAIL 2026	/event/18200	Løb | Sövde
Lørdag 12. sep	Løb	ATLÉTICA HORSENS LØBET 2026	/event/17372	Løb | Horsens
Lørdag 12. sep	Løb	BALLERUPBIATLON - SKISKYDNING I LØBESKO 2026	/event/18438	Løb | Ballerup
Lørdag 12. sep	Løb	DIVERSITY RUN	/event/17944	Løb | Karrebæksminde
Lørdag 12. sep	Triatlon	DRAFT TRIATLON SERIEN UNGDOM 2026	/event/17784	Triatlon
Lørdag 12. sep	Løb	EGHOLM SLOTSLØB 2026	/event/17331	Løb | Kirke Hyllinge
Lørdag 12. sep	Løb	HALVMARATON DEN GENFUNDNE BRO SPECIAL 2026 RUN	/event/17181	Løb | Brædstrup
Lørdag 12. sep	Løb	MUD RACE 2026 - ODENSE	/event/16801	Løb | Odense SV
Lørdag 12. sep	Løb	MUD RACE HILLERØD 2026	/event/17115	Løb | Hillerød
Lørdag 12. sep	Løb	ORUST TVÄRS	/event/17350	Løb | Svanesund
Lørdag 12. sep	Løb	SKIVE LØBET 2026	/event/18245	Løb | Skive
Lørdag 12. sep	Løb	VANDLØBET 2026	/event/18479	Løb | Kolding
Søndag 13. sep	Løb	DANMARKS MEST USUNDE HALVMARATHON	/event/19064	Løb | Esbjerg
Søndag 13. sep	Løb	ROSENHOLMLØBET 2026	/event/17063	Løb | Hornslet
Søndag 13. sep	Løb	VOGNSBØLPARKENSMARATHON #79 11 ÅRS FØDSELSDAG	/event/19093	Løb | Esbjerg
Tirsdag 15. sep	Trailløb	NORDJYSK TRAIL CUP 2026/2027 - SAMLET TILMELDING	/event/18770	Trailløb
Onsdag 16. sep	Løb	NUUK TRAIL SERIES	/event/17901	Løb | Nuuk
Onsdag 16. sep	Løb	SKOVSØLØBET 2026	/event/18442	Løb | Odense SV
Lørdag 19. sep	Løb	ALMINDINGSLØBET 2026	/event/17337	Løb | Aakirkeby
Lørdag 19. sep	Løb	KLOSTERLØBET 7840 - 2026	/event/17930	Løb | Højslev
Lørdag 19. sep	Løb	LOKALLØBET 2026	/event/17593	Løb | Holbæk Kommune
Lørdag 19. sep	Løb	LÆSØ ULTRA 2026	/event/17009	Løb | Læsø
Lørdag 19. sep	Løb	LØB MELLEM HUSENE - AARHUS 2026	/event/18153	Løb | Brabrand
Lørdag 19. sep	Løb	LØB MELLEM HUSENE I AALBORG SØ 2026	/event/19001	Løb | Aalborg SØ
Lørdag 19. sep	Løb	MOLSLØBET 2026	/event/18704	Løb | Knebel
Lørdag 19. sep	Løb	REBILD KALKMINELØB 2026	/event/17324	Løb | Skørping
Søndag 20. sep	Løb	BIATHLON STÆVNE VIBORG	/event/19423	Løb | Viborg
Søndag 20. sep	Løb	HÖKENSÅS TRAIL	/event/17209	Løb | Tidaholm
Søndag 20. sep	Løb	SØEN RUNDT 2026	/event/16990	Løb | Skanderborg
Søndag 20. sep	Løb	WEAR GROUP SILKEBORG HALF 2026	/event/17655	Løb | Silkeborg
Fredag 25. sep	Løb	IKEA RUNDEN GENTOFTE 2027	/event/18904	Løb | Gentofte
Lørdag 26. sep	Løb	1900 HALVMARATON 2026	/event/17444	Løb | Aarhus C
Lørdag 26. sep	Løb	COLOUR WALK 2026	/event/18917	Løb | Odense V
Lørdag 26. sep	Trailløb	DGI NORDJYSK TRAIL CUP 2026/2027 - LUNDBY KRAT TRAIL	/event/18786	Trailløb | Gistrup
Lørdag 26. sep	Løb	HØSTLØBET 2026	/event/17192	Løb | Asnæs
Lørdag 26. sep	Løb	IKEA RUNDEN KØBENHAVN 2027	/event/18914	Løb | København V
Lørdag 26. sep	Løb	MUD RACE AARHUS 2026	/event/17302	Løb | Aarhus N
Lørdag 26. sep	Trailløb	PAN FALL TRAIL 2026	/event/18478	Trailløb | Højbjerg
Lørdag 26. sep	Løb	SKOVLYSTLØBET - NORDSJÆLLAND 2026	/event/17065	Løb | Holte
Lørdag 26. sep	Løb	TOUR DE FREDENSBORGS EFTERÅRSLØB I NIVÅ 2026	/event/19304	Løb
Søndag 27. sep	Løb	DRONNINGLUND LØBET 2026	/event/18915	Løb | Dronninglund
Søndag 27. sep	Løb	HCA MARATHON 2026	/event/16156	Løb | Odense V
Søndag 27. sep	Løb	HCA MARATHON VIP 2026	/event/19421	Løb | Odense V
Søndag 27. sep	Løb	HINES TOWER RUN 2026	/event/17077	Løb | Nordhavn
Søndag 27. sep	Løb	LØB MELLEM HUSENE SLAGELSE 2026	/event/19301	Løb | Slagelse
Søndag 27. sep	Trailløb	LØBESHOP MOESGAARD TRAIL RUN 2026	https://www.aarhusmotion.dk/event/299	Trailløb
Søndag 27. sep	Løb	TRAILS - AMAGER FÆLLED 2026	/event/17468	Løb | Amager Fælled
Fredag 2. okt	Løb	IKEA RUNDEN AARHUS 2026	/event/18971	Løb | Aarhus N
Fredag 2. okt	Løb	TØNDER FAKKELLØB 2026	/event/18497	Løb | Tønder
Lørdag 3. okt	Løb	AL-SYDBANK WALK & RUN 2026	/event/18382	Løb | Grindsted
Lørdag 3. okt	Løb	LYSFALD LØBET 3. OKTOBER I FÅRUP SOMMERLAND 2026	/event/17101	Løb | Blokhus
Lørdag 3. okt	Trailløb	MONTANE DIRTYTRAIL 2026	/event/17604	Trailløb | Silkeborg
Lørdag 3. okt	Løb	MUD RACE AALBORG 2026	/event/17199	Løb | Nørresundby
Lørdag 3. okt	Løb	RUNNSPLASH 2026	/event/19206	Løb | Aars
Lørdag 3. okt	Løb	SKAGEN MARATHON 2026	/event/16944	Løb | Skagen
Lørdag 3. okt	Løb	TIDAHOLM MARATHON	/event/17107	Løb | Tidaholm
Søndag 4. okt	Løb	EREMITAGELØBET 2026	/event/16969	Løb | Kongens Lyngby
Søndag 4. okt	Løb	ESBJERG CITY HALF 2026 POWERED BY CRAFT	/event/17075	Løb | Esbjerg
Søndag 4. okt	Løb	LØBHJEM 2026	/event/17294	Løb | Silkeborg
Onsdag 7. okt	Løb	MARTEC 1/2 MARATHON 2026 - TOGT 127	/event/19444	Løb | Frederikshavn
Fredag 9. okt	Løb	VIRTUAL KIDS RUN 2026	/event/19313	Løb
Lørdag 10. okt	Løb	AGGERSVOLD HALVMARATON	/event/18439	Løb | Jyderup
Lørdag 10. okt	Løb	BACKYARD OUTLAND EDITION	/event/18146	Løb | Gistrup
Lørdag 10. okt	Løb	BRABRAND SØ HALVMARATHON 10 ÅRS FØDSELSDAGSLØB OG DET SIDSTE LØB	/event/17042	Løb | Viby J
Lørdag 10. okt	Løb	DEN FYNSKE ØL-RUTE MARATHON 2026	/event/17067	Løb | Søby Ærø
Lørdag 10. okt	Trailløb	EVENTYRSPORT TISVILDE TRAIL 2026 - POWERED BY 66°NORTH	/event/17477	Trailløb | Tisvildeleje
Lørdag 10. okt	Løb	LYSFALD LØBET 10. OKTOBER I FÅRUP SOMMERLAND 2026	/event/17102	Løb | Blokhus
Søndag 11. okt	Trailløb	DGI NORDJYSK TRAIL CUP 2026/2027 LIUF TRAIL	/event/18788	Trailløb | Hirtshals
Søndag 11. okt	Løb	NUUK TRAIL SERIES	/event/17901	Løb | Nuuk
Søndag 11. okt	Løb	SPAR NORD SYDKYSTLØBET 2026	/event/17085	Løb | Greve
Onsdag 14. okt	Løb	HALLOWEENLØBET 2026	/event/17448	Løb
Lørdag 17. okt	Løb	BAGSVÆRD SØ RUNDT 2026	/event/18504	Løb | Bagsværd
